Time;Vazao01;Vazao02;Vazao03
02/09/2019;178.25;105.02;100.07
03/09/2019;185.91;106.79;101.31
04/09/2019;200.43;103.19;99.87
05/09/2019;184.91;99.66;98.61
06/09/2019;197.66;102.43;100.9
07/09/2019;251.85;132.07;117.2
08/09/2019;253.38;121.46;107.27
09/09/2019;185.62;125.72;111.18
10/09/2019;217.4;121.69;109.4
11/09/2019;204.18;121.5;108.35
12/09/2019;233.18;120.6;109.87
13/09/2019;227.96;110.05;102.14
14/09/2019;243.66;116.24;106.09
15/09/2019;232.4;117.4;107.61
16/09/2019;210.22;125.85;110.69
17/09/2019;219.91;119.93;107.72
18/09/2019;218.99;111.97;102.93
19/09/2019;205.11;104.5;100.36
20/09/2019;181.38;111.6;103.24
21/09/2019;211.93;104.37;102.6
22/09/2019;229.35;102.78;99.14
23/09/2019;201.15;108.15;103.09
24/09/2019;204.98;107.68;104.32
25/09/2019;209.72;109.51;105.97
26/09/2019;197.64;113.46;107.93
27/09/2019;219.55;118.95;110.58
28/09/2019;262.32;117.06;111.63
29/09/2019;208;115.08;107.49
30/09/2019;199.02;115.21;107.66
01/10/2019;206.95;118.53;108.09
02/10/2019;227.69;121.27;106.39
03/10/2019;228.83;114.86;103.38
04/10/2019;206.37;119.83;105.94
05/10/2019;216.81;122.78;111.63
06/10/2019;246.3;96.5;93.55
07/10/2019;178.61;103.85;96.75
08/10/2019;198.25;113.26;99.53
09/10/2019;207.57;121.3;100.48
10/10/2019;221.66;119.04;102.72
11/10/2019;195.28;122.77;107.15
12/10/2019;269.25;126.24;110.04
13/10/2019;255.24;119.93;103.82
14/10/2019;187.6;119.52;106.36
15/10/2019;196.15;102.32;97
16/10/2019;182.31;110.23;100.14
17/10/2019;230.93;119.48;103.02
18/10/2019;227.08;129.46;107.63
19/10/2019;275.93;122.96;108.27
20/10/2019;213.09;111.58;99.6
21/10/2019;163.39;108.56;98.74
22/10/2019;204.34;118.88;104.91
23/10/2019;218.46;112.98;103.98
24/10/2019;218.34;121.54;109.16
25/10/2019;230.45;124.85;110.43
26/10/2019;229.39;120.3;108.92
27/10/2019;270.83;122.65;107.02
28/10/2019;183.17;116.38;107.43
29/10/2019;218.01;120.26;108.98
30/10/2019;227.38;118.75;113.41
31/10/2019;224.52;115.42;102.83
01/11/2019;219.48;116.7;104.24
02/11/2019;257.78;126.76;111.09
03/11/2019;219.94;120.17;104.26
04/11/2019;218.15;120.59;106.02
05/11/2019;211.76;112.2;102.54
06/11/2019;214.41;110.01;100.6
07/11/2019;206.44;114.9;103.1
08/11/2019;217.81;120.1;106.57
09/11/2019;249.19;130.91;91.85
10/11/2019;215.45;109.49;106.88
11/11/2019;186.26;113.9;107.03
12/11/2019;211.86;111.37;103.98
13/11/2019;220.02;116.65;107.62
14/11/2019;202.64;111.02;106.13
15/11/2019;260.86;129.12;116.08
16/11/2019;232.53;115.92;105.48
17/11/2019;215.81;113.65;100.84
18/11/2019;183.68;125.71;109.37
19/11/2019;220.22;127.89;99.31
20/11/2019;225.96;117.31;107.15
21/11/2019;214.16;121.07;103.62
22/11/2019;214.15;126;106.57
23/11/2019;246.74;119.28;103.23
24/11/2019;238.07;106.2;93.6
25/11/2019;181.74;124.16;103.31
26/11/2019;212.9;112.83;99.68
27/11/2019;202.92;107.28;95.17
28/11/2019;204.3;110.7;97.68
29/11/2019;219.94;126.51;105.58
30/11/2019;243.97;131.13;109.46
01/12/2019;249.29;120.37;102.33
02/12/2019;150.31;115.77;100.43
03/12/2019;224.33;114.38;99.95
04/12/2019;190.3;109.27;99.64
05/12/2019;228.02;110.7;98.77
06/12/2019;204.11;119.1;104
07/12/2019;265.34;127.59;109.06
08/12/2019;240.07;113.18;103.35
09/12/2019;186.5;109.58;97.26
10/12/2019;203.07;117.82;101.73
11/12/2019;205.15;114.03;101.81
12/12/2019;224.3;126.41;106.68
13/12/2019;221.93;118.72;103.41
14/12/2019;248.12;117.1;103.67
15/12/2019;220.41;111.82;98.29
16/12/2019;187.09;111.45;98.4
17/12/2019;210.4;112.44;99.81
18/12/2019;181.75;108.7;98.16
19/12/2019;190.85;117.42;102.68
20/12/2019;224.1;127.38;108.59
21/12/2019;276.71;123.58;108.44
22/12/2019;236.76;120.33;101.96
23/12/2019;187.13;125.75;104.53
24/12/2019;221.3;124.39;105.68
25/12/2019;260.54;110.49;99.7
26/12/2019;186.18;128.97;108.28
27/12/2019;227.66;124.47;105.57
28/12/2019;264.96;118.71;104.87
29/12/2019;209.38;110.74;98.95
30/12/2019;183.77;119.66;103.32
31/12/2019;207.73;121.24;104.9
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
